n_bits,e1,e2,gcd_e,attack_time,result
512,1244962527489035181392653535867,908505040984517112576942544663,1,0.000256,success
512,1264132684807267050756475564879,819190036988606542326665612563,1,0.000255,success
512,1266632593484254326270996273017,983738534358288004302939943849,1,0.000326,success
512,1234839366122621768468054634899,691776301842043409112977855239,1,0.000261,success
512,650336161880990503985529773047,700468547062762723884279630617,1,0.000273,success
512,1045069015221246009482947736647,1031730611403696570559837292443,1,0.000308,success
512,759385914285215210511757294597,1206685581027371035984103303221,1,0.000237,success
512,1196353141335786709715914100171,640487276350804037129949733861,1,0.000241,success
512,1152976495980762733448809115329,1015903693089241504462695245011,1,0.000279,success
512,1197152941293790593610870869449,1091799191166158504910680155567,1,0.000255,success
1024,1061909142726636917995261247881,785290075070451888690826252213,1,0.000655,success
1024,641102774192822393836626459431,684935798304377296216288804127,1,0.000654,success
1024,930333494379602302463169903523,956465150997809775297685602583,1,0.000683,success
1024,699839377276323497160860107061,1001937181325108358776111369471,1,0.000635,success
1024,1102030641957273345873330515539,1118392066664233163559640041659,1,0.000653,success
1024,880517064823988867283634142107,938501399085532497011013782179,1,0.000676,success
1024,1254368572087676232678620896841,644594763274791811786469424899,1,0.000643,success
1024,1203616741580538745327149408311,1227573002269876271927182489967,1,0.000674,success
1024,951181211989591054976967954737,722913381157140932474114922553,1,0.000765,success
1024,698838353126048145294363991897,653243907142416992378850376579,1,0.00065,success
2048,1004131056705126617553183637793,1103265476679913017396340250851,1,0.002219,success
2048,1087882683832520253903576452441,935836464166680858605511726799,1,0.002429,success
2048,1031932268173392793513329974129,760986598160454865525508887709,1,0.002301,success
2048,1263484143000130136488454561179,950042929269476553701957711533,1,0.00241,success
2048,1242968386137273296563948469767,852308749925155048758936408163,1,0.002278,success
2048,1190193446300154455365303507177,1172178235827996880827432575923,1,0.002266,success
2048,863701237137935433515583385447,881556102620371792059168114767,1,0.002254,success
2048,773754363826900521628557062503,636595290872642826639628691819,1,0.002275,success
2048,829126247026554049960201505687,1081155445209309868385601001547,1,0.002289,success
2048,730142901009240548485797579043,1130890473980651003095542769907,1,0.002228,success
