n_bits,d_bits,ratio,attack_time,result
512,64,0.125,0.108446,success
512,96,0.1875,0.116196,success
512,128,0.25,0.17416,success
512,160,0.3125,0.173494,fail
512,192,0.375,0.138086,fail
512,224,0.4375,0.181542,fail
512,256,0.5,0.121537,fail
512,288,0.5625,0.153044,fail
512,320,0.625,0.150988,fail
512,352,0.6875,0.663335,fail
512,384,0.75,0.129847,fail
512,416,0.8125,0.132812,fail
512,448,0.875,0.693059,fail
512,480,0.9375,0.134821,fail
512,512,1.0,0.160821,fail
512,544,1.0625,0.146681,fail
768,64,0.08333333333333333,0.152442,success
768,96,0.125,0.174895,success
768,128,0.16666666666666666,0.258821,success
768,160,0.20833333333333334,0.33431,success
768,192,0.25,0.377926,success
768,224,0.2916666666666667,0.499209,fail
768,256,0.3333333333333333,0.367971,fail
768,288,0.375,0.436692,fail
768,320,0.4166666666666667,0.358235,fail
768,352,0.4583333333333333,0.52847,fail
768,384,0.5,0.430963,fail
768,416,0.5416666666666666,0.414138,fail
768,448,0.5833333333333334,0.45283,fail
768,480,0.625,0.373363,fail
768,512,0.6666666666666666,0.445088,fail
768,544,0.7083333333333334,0.352959,fail
1024,64,0.0625,0.27168,success
1024,96,0.09375,0.322703,success
1024,128,0.125,0.49355,success
1024,160,0.15625,0.634366,success
1024,192,0.1875,0.680354,success
1024,224,0.21875,0.664017,success
1024,256,0.25,0.848621,success
1024,288,0.28125,0.823596,fail
1024,320,0.3125,0.804688,fail
1024,352,0.34375,0.825537,fail
1024,384,0.375,0.776663,fail
1024,416,0.40625,0.904176,fail
1024,448,0.4375,0.904549,fail
1024,480,0.46875,0.873233,fail
1024,512,0.5,0.862352,fail
1024,544,0.53125,0.788033,fail
1280,64,0.05,0.480097,success
1280,96,0.075,0.545555,success
1280,128,0.1,0.559963,success
1280,160,0.125,0.71332,success
1280,192,0.15,0.828773,success
1280,224,0.175,1.133239,success
1280,256,0.2,1.342631,success
1280,288,0.225,1.436085,success
1280,320,0.25,1.518997,success
1280,352,0.275,2.497257,fail
1280,384,0.3,1.606555,fail
1280,416,0.325,1.562595,fail
1280,448,0.35,1.892013,fail
1280,480,0.375,1.477445,fail
1280,512,0.4,1.634723,fail
1280,544,0.425,1.751592,fail
1536,64,0.041666666666666664,0.607883,success
1536,96,0.0625,0.738306,success
1536,128,0.08333333333333333,0.924284,success
1536,160,0.10416666666666667,1.222749,success
1536,192,0.125,1.318898,success
1536,224,0.14583333333333334,1.731285,success
1536,256,0.16666666666666666,1.680113,success
1536,288,0.1875,2.211487,success
1536,320,0.20833333333333334,2.179042,success
1536,352,0.22916666666666666,2.758495,success
1536,384,0.25,4.011146,success
1536,416,0.2708333333333333,2.767433,fail
1536,448,0.2916666666666667,2.326032,fail
1536,480,0.3125,2.567467,fail
1536,512,0.3333333333333333,3.053013,fail
1536,544,0.3541666666666667,3.068699,fail
1792,64,0.03571428571428571,1.158099,success
1792,96,0.05357142857142857,1.159833,success
1792,128,0.07142857142857142,1.503931,success
1792,160,0.08928571428571429,1.596579,success
1792,192,0.10714285714285714,1.623393,success
1792,224,0.125,1.867005,success
1792,256,0.14285714285714285,2.973184,success
1792,288,0.16071428571428573,2.656073,success
1792,320,0.17857142857142858,3.126971,success
1792,352,0.19642857142857142,2.928599,success
1792,384,0.21428571428571427,3.247337,success
1792,416,0.23214285714285715,4.963739,success
1792,448,0.25,3.967618,success
1792,480,0.26785714285714285,4.305655,fail
1792,512,0.2857142857142857,4.662305,fail
1792,544,0.30357142857142855,4.025115,fail
2048,64,0.03125,1.385854,success
2048,96,0.046875,1.726347,success
2048,128,0.0625,1.530365,success
2048,160,0.078125,2.155083,success
2048,192,0.09375,2.196627,success
2048,224,0.109375,2.3447,success
2048,256,0.125,2.999748,success
2048,288,0.140625,3.190381,success
2048,320,0.15625,3.848561,success
2048,352,0.171875,4.101999,success
2048,384,0.1875,4.621334,success
2048,416,0.203125,4.405677,success
2048,448,0.21875,5.744259,success
2048,480,0.234375,5.105448,success
2048,512,0.25,6.047553,fail
2048,544,0.265625,6.131135,fail
